Category,Message
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Customer place i will call you.
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
spam,Your Hulu subscription is about to expire. Renew today for 50% off: hulu-renew.tv
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question
ham,Sac needs to carry on:)
ham,"That's what I love to hear :V see you sundayish, then"
spam,"Final Notice: You have an unclaimed lottery prize of $50,000. Claim now!"
ham,I dont understand your message.
ham,What time you thinkin of goin?
ham,It means u could not keep ur words.
spam,Get a $500 Sephora Gift Card! Take our 'Summer Beauty' survey to claim yours: bit.ly/sephora-win-26
ham,Its worse if if uses half way then stops. Its better for him to complete it.
spam,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
ham,Wait.i will come out.. &lt;#&gt;  min:)
ham,"Yeah I am, so I'll leave maybe 7ish?"
ham,Indeed and by the way it was either or - not both !
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Oh ic. I thought you meant mary jane.
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,Then ur sis how?
spam,Your DHL package is at the local post office. Pick it up: dhl-parcel.info
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff."
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
ham,Sday only joined.so training we started today:)
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
ham,That seems unnecessarily affectionate
